ingredient,weight
"Flour, all purpose (wheat)",120
"Flour, well sifted all purpose (wheat)",110
"Sugar, granulated cane",200
Confectioner's sugar (cane),100
"Brown sugar, packed firmly (but not too firmly)",180
Corn meal,160
Corn starch,120
"Rice, uncooked",190
"Macaroni, uncooked",140
"Couscous, uncooked",180
"Oats, uncooked quick",90
Table salt,300
Butter,240
Vegetable shortening,190
Chopped fruits and vegetables,150
"Nuts, chopped",150
"Nuts, ground",120
"Bread crumbs, fresh, loosely packed",60
"Bread crumbs, dry",150
"Parmesan cheese, grated",90
